Evaluation/AverageReturn,GaussianMLPValueFunction/LossBefore,GaussianMLPPolicy/LossAfter,Evaluation/AverageDiscountedReturn,GaussianMLPPolicy/KL,Evaluation/NumEpisodes,GaussianMLPPolicy/LossBefore,Evaluation/StdReturn,Evaluation/MaxReturn,TotalEnvSteps,GaussianMLPValueFunction/LossAfter,Evaluation/MinReturn,GaussianMLPPolicy/dLoss,GaussianMLPPolicy/Entropy,Evaluation/TerminationRate,GaussianMLPPolicy/KLBefore,Evaluation/SuccessRate,Evaluation/Iteration,GaussianMLPValueFunction/dLoss
106.13060420398376,5.182639122009277,-0.0022682775743305683,76.2423855478765,0.009321898221969604,1,4.4703482582342247e-10,0.0,106.13060420398376,75,5.172679424285889,106.13060420398376,0.0022682780399918556,2.0100691318511963,0.0,0.0,1.0,0,0.009959697723388672
94.96342788608982,4.9461588859558105,-0.0023964231368154287,69.53071687381987,0.0303955078125,1,1.4901161415892261e-09,0.0,94.96342788608982,150,4.937975883483887,94.96342788608982,0.0023964245337992907,2.010650396347046,0.0,0.0,1.0,1,0.008183002471923828
107.55753016070668,5.481039047241211,-0.0006449376232922077,75.56766619220744,0.004465192090719938,1,3.47693762670076e-10,0.0,107.55753016070668,225,5.46083402633667,107.55753016070668,0.0006449379725381732,2.0078601837158203,0.0,0.0,1.0,2,0.020205020904541016
109.48301944131265,5.542640686035156,-0.0027812302578240633,75.66642296387488,0.04442363604903221,1,1.291433959771382e-09,0.0,109.48301944131265,300,5.505743980407715,109.48301944131265,0.0027812316548079252,2.00351619720459,0.0,0.0,1.0,3,0.036896705627441406
100.44014123996712,5.274779319763184,-0.0007796814315952361,72.59087414548725,0.0016588543076068163,1,6.45716979885691e-10,0.0,100.44014123996712,375,5.264580726623535,100.44014123996712,0.0007796820718795061,1.9884051084518433,0.0,0.0,1.0,4,0.010198593139648438
107.76157085472246,5.311755180358887,-0.0017506144940853119,77.16428055332112,0.02204175665974617,1,-1.043081288010228e-09,0.0,107.76157085472246,450,5.298184871673584,107.76157085472246,0.0017506134463474154,1.978261113166809,0.0,0.0,1.0,5,0.013570308685302734
88.87991647209913,4.619650840759277,-0.002659738762304187,64.41522205576237,0.01978597231209278,1,4.967053990334591e-10,0.0,88.87991647209913,525,4.612265586853027,88.87991647209913,0.002659739227965474,1.9782878160476685,0.0,0.0,1.0,6,0.00738525390625
95.76203306200631,4.833932399749756,-0.00027217069873586297,68.63673501811415,0.004381038248538971,1,-1.291433959771382e-09,0.0,95.76203306200631,600,4.828529357910156,95.76203306200631,0.0002721694181673229,1.9775712490081787,0.0,0.0,1.0,7,0.005403041839599609
105.3363978790664,5.708930492401123,-0.0018862547585740685,74.33769585383874,0.02787839248776436,1,-2.98023217215615e-10,0.0,105.3363978790664,675,5.692883014678955,105.3363978790664,0.001886254409328103,1.9770829677581787,0.0,0.0,1.0,8,0.01604747772216797
108.5971050650089,5.307979106903076,-0.001897246460430324,78.17924279074495,0.02057291381061077,1,-1.19209286886246e-09,0.0,108.5971050650089,750,5.293367385864258,108.5971050650089,0.0018972452962771058,1.974242925643921,0.0,0.0,1.0,9,0.01461172103881836
100.77566767726728,5.097865104675293,-0.001024147029966116,72.96985868483486,0.009307620115578175,1,8.940696516468449e-10,0.0,100.77566767726728,825,5.089531898498535,100.77566767726728,0.0010241479612886906,1.977709174156189,0.0,0.0,1.0,10,0.008333206176757812
86.6396555423287,4.286534309387207,-0.001873828936368227,61.298962633009545,0.014283129014074802,1,-2.4835269951672956e-10,0.0,86.6396555423287,900,4.282170295715332,86.6396555423287,0.0018738287035375834,1.9870691299438477,0.0,0.0,1.0,11,0.004364013671875
85.1019295721212,4.527292251586914,-0.0007496400503441691,61.950165358790535,0.007980803027749062,1,1.043081288010228e-09,0.0,85.1019295721212,975,4.514130115509033,85.1019295721212,0.0007496410980820656,1.9947429895401,0.0,0.0,1.0,12,0.01316213607788086
96.30309460739811,4.840846538543701,-0.0009828595211729407,68.92178608620507,0.0151515519246459,1,1.2417634698280722e-09,0.0,96.30309460739811,1050,4.835826873779297,96.30309460739811,0.0009828608017414808,1.995036005973816,0.0,0.0,1.0,13,0.005019664764404297
81.93701510993557,4.384886264801025,-0.0005946599994786084,57.906344191505084,0.006423540413379669,1,9.934107703113426e-11,0.0,81.93701510993557,1125,4.377283096313477,81.93701510993557,0.0005946601158939302,1.9945231676101685,0.0,0.0,1.0,14,0.007603168487548828
101.16080086884064,4.886290550231934,-0.0013949822168797255,72.55065385864907,0.02658563107252121,1,1.9868215406226852e-10,0.0,101.16080086884064,1200,4.8812689781188965,101.16080086884064,0.0013949824497103691,1.990719199180603,0.0,0.0,1.0,15,0.005021572113037109
105.6374791593988,5.348559379577637,-0.001068577985279262,73.73434245876929,0.009286206215620041,1,2.7318794448838446e-10,0.0,105.6374791593988,1275,5.330287456512451,105.6374791593988,0.0010685782181099057,1.9976484775543213,0.0,0.0,1.0,16,0.018271923065185547
96.63090409434672,4.810234546661377,-0.0001717443228699267,68.05157167581224,0.008911632001399994,1,2.086162576020456e-09,0.0,96.63090409434672,1350,4.803221702575684,96.63090409434672,0.00017174640379380435,2.0039377212524414,0.0,0.0,1.0,17,0.007012844085693359
91.20303458478627,4.857150077819824,-0.0016500107012689114,63.631284970538026,0.006594023201614618,1,1.1175871339474952e-09,0.0,91.20303458478627,1425,4.851716041564941,91.20303458478627,0.0016500118654221296,2.0102148056030273,0.0,0.0,1.0,18,0.0054340362548828125
