Evaluation/TerminationRate,GaussianMLPValueFunction/dLoss,GaussianMLPValueFunction/LossAfter,Evaluation/MinReturn,Evaluation/Iteration,GaussianMLPPolicy/KL,GaussianMLPValueFunction/LossBefore,GaussianMLPPolicy/dLoss,TotalEnvSteps,Evaluation/MaxReturn,Evaluation/AverageReturn,Evaluation/StdReturn,GaussianMLPPolicy/KLBefore,Evaluation/AverageDiscountedReturn,GaussianMLPPolicy/LossAfter,GaussianMLPPolicy/Entropy,GaussianMLPPolicy/LossBefore,Evaluation/NumEpisodes,Evaluation/SuccessRate
0.0,13.379446029663086,19.206979751586914,8.132330189527204,0,0.008891801349818707,32.58642578125,0.005819436628371477,750,33.141308931065296,17.696698393378192,6.412754556928867,0.0,13.336552597454268,-0.005819437559694052,2.8512470722198486,-9.536743617033494e-10,10,1.0
0.0,8.91162395477295,13.836928367614746,9.186464486218233,1,0.00844163540750742,22.748552322387695,0.003918019123375416,1500,23.19195389845696,18.50847514919722,4.481888091461983,0.0,13.552974063353693,-0.00391800794750452,2.85408616065979,1.1046727088626085e-08,10,1.0
0.0,4.384393692016602,14.959619522094727,14.648681463582617,2,0.012421023100614548,19.344013214111328,0.004659548867493868,2250,35.14708718269753,22.40656768755751,6.409857062249328,0.0,16.632226294447385,-0.004659541882574558,2.8609395027160645,6.834665722266209e-09,10,1.0
0.0,11.284599304199219,27.96617889404297,15.071205599218244,3,0.004293184727430344,39.25077819824219,0.00104748725425452,3000,43.738189038412735,31.667702105523762,8.288565576544471,0.0,22.683470615375597,-0.0010474931914359331,2.849876880645752,-5.9604645663569045e-09,10,1.0
0.0,4.714839935302734,27.79397201538086,19.12097307057193,4,0.009442571550607681,32.508811950683594,0.003970860969275236,3750,46.563521671852584,33.3514789241997,9.280323214778429,0.0,24.14385638149262,-0.0039708660915493965,2.8337295055389404,-5.165735839085528e-09,10,1.0
0.0,2.249340057373047,20.273258209228516,29.258703357973705,5,0.004848368465900421,22.522598266601562,0.0015756046632304788,4500,42.229038308451926,33.50102153287445,3.5951915152241396,0.0,24.07818236369132,-0.0015756033826619387,2.8211092948913574,1.2715657415895976e-09,10,1.0
0.0,4.594078063964844,26.133525848388672,25.596143997461446,6,0.008088091388344765,30.727603912353516,0.002066056476905942,5250,47.005663873702574,38.76512625582684,5.9284312244469834,0.0,27.61349285472094,-0.0020660480950027704,2.808959722518921,8.463859835217136e-09,10,1.0
0.0,3.3027992248535156,23.63088607788086,31.441642380458564,7,0.004735453519970179,26.933685302734375,0.0013905046507716179,6000,49.02467483272068,40.8117913253328,6.242638460360357,0.0,29.172109802226412,-0.0013905098894611,2.8090741634368896,-5.2452087118126656e-09,10,1.0
0.0,4.7008209228515625,33.06578826904297,26.2080233687968,8,0.004984063562005758,37.76660919189453,0.0013274484081193805,6750,56.86371801796873,45.48657051060126,8.679575774788486,0.0,32.86164712824269,-0.001327449339441955,2.7996675968170166,-9.536743617033494e-10,10,1.0
0.0,3.619647979736328,25.564937591552734,40.9659975596198,9,0.0043902951292693615,29.184585571289062,0.0011163839371874928,7500,52.951931017839314,47.238175664655294,3.8373668851377367,0.0,33.65870617066322,-0.0011163840536028147,2.802570104598999,-1.589457176986997e-10,10,1.0
0.0,1.94659423828125,25.74785614013672,34.57747908059888,10,0.004835544154047966,27.69445037841797,0.0007583879632875323,8250,52.75055510567157,44.63542129770392,4.86291447533932,0.0,31.860809104796687,-0.0007583884289488196,2.7981083393096924,-4.3710071673253026e-10,10,1.0
0.0,1.5270137786865234,24.354520797729492,30.90051880995741,11,0.0024904815945774317,25.881534576416016,0.0009985012002289295,9000,63.62193501992253,43.35455014827703,8.56722023958448,0.0,30.621121424574703,-0.0009985023643821478,2.790572166442871,-1.1324882143171067e-09,10,1.0
0.0,1.8801555633544922,27.48735237121582,32.432755350950906,12,0.005403769202530384,29.367507934570312,0.0013306587934494019,9750,66.59749968343817,45.27532184526889,9.234190519675513,0.0,32.23346266615812,-0.0013306603068485856,2.785609483718872,-1.5497207961345794e-09,10,1.0
0.0,2.1685237884521484,26.644588470458984,36.94817242193698,13,0.005591763649135828,28.813112258911133,0.0007633081986568868,10500,62.60316515670207,49.498838949332445,8.681624890217403,0.0,35.45166776255492,-0.0007633081986568868,2.7800979614257812,-1.9868214712337462e-11,10,1.0
0.0,2.8803176879882812,28.211149215698242,45.08231479074285,14,0.0044098347425460815,31.091466903686523,0.0008208152721635997,11250,64.4180850971618,53.323241886393326,5.841130367507775,0.0,38.05245101819855,-0.0008208077633753419,2.7792863845825195,7.500251086867138e-09,10,1.0
0.0,2.2482452392578125,27.889080047607422,38.805445164300075,15,0.007454368751496077,30.137325286865234,0.001320130075328052,12000,69.20706703682036,54.21388397550478,9.771993030363076,0.0,39.07089789892104,-0.0013201313558965921,2.770704507827759,-1.2318293052260287e-09,10,1.0
0.0,2.922079086303711,27.59749984741211,45.631831797853536,16,0.005571349989622831,30.51957893371582,0.0009265844710171223,12750,69.31705616053804,58.47199957178931,7.175068507330299,0.0,41.72882873332018,-0.0009265804546885192,2.7710225582122803,3.993511299427155e-09,10,1.0
0.0,2.4889259338378906,26.77533531188965,44.86192172396188,17,0.004397139418870211,29.26426124572754,0.0011348876869305968,13500,70.95629251269223,59.32919839978414,6.372608208496089,0.0,42.25023590612509,-0.0011348880361765623,2.774200201034546,-3.178914353973994e-10,10,1.0
